Id,date,org,tld,ccs,bcced,mail_type,images,urls,salutations,designation,chars_in_subject,chars_in_body,label
0,"Sat, 2 Jul 2016 11:02:58 +0530",iiitd,ac.in,4,0,multipart/alternative,0,0,1,0,23,3020,0
1,"Sun, 20 Mar 2016 12:05:42 +0530",iiitd,ac.in,9,0,multipart/alternative,0,0,1,0,44,5026,0
2,"Tue, 16 Jan 2018 14:46:11 +0000 (UTC)",github,com,1,0,multipart/alternative,2,26,0,0,51,4792,0
3,"Sat, 13 Sep 2014 22:36:23 +0000",twitter,com,0,0,multipart/alternative,10,94,0,0,66,47711,1
4,"Tue, 26 Sep 2017 13:50:52 +0000 (UTC)",udacity,com,0,0,multipart/alternative,10,40,1,0,53,64317,1
5,"Sat, 7 May 2016 03:03:44 +0000",topcoder,com,0,0,multipart/alternative,13,83,0,0,62,86856,1
6,"Sun, 17 Apr 2016 14:44:23 +0530",iiitd,ac.in,6,0,multipart/alternative,1,46,1,0,48,15807,0
7,"Sat, 14 Feb 2015 11:54:59 +0000 (UTC)",quora,com,0,0,multipart/alternative,0,93,1,0,99,81627,1
8,"Sat, 29 Apr 2017 14:59:30 +0530",iiitd,ac.in,2,0,multipart/mixed,0,0,0,0,23,79002,0
9,"Wed, 9 Mar 2016 09:10:46 +0530",iiitd,ac.in,0,0,multipart/alternative,0,4,1,0,39,3686,0
10,"Tue, 18 Jul 2017 08:10:35 -0700 (PDT)",quora,com,0,0,multipart/alternative,12,116,0,0,48,102371,1
11,"Mon, 7 Dec 2015 10:00:00 +0530",iiitd,ac.in,3,0,multipart/alternative,0,0,1,0,55,11044,0
12,"Sat, 16 Jul 2016 08:57:47 +0000",twitter,com,0,0,multipart/alternative,33,177,0,0,86,82679,1
13,"Fri, 17 Jun 2016 09:58:37 +0530",pvrcinemas,com,0,0,text/html,49,101,0,0,36,30456,1
14,"Thu, 22 Sep 2016 09:06:45 +0000",twitter,com,0,0,multipart/alternative,32,184,0,0,72,98816,1
15,"Tue, 16 Jul 2013 13:22:56 +0000",googlegroups,com,0,0,multipart/alternative,1,8,0,0,33,2210,0
16,"Fri, 23 Oct 2015 01:26:34 +0530",iiitd,ac.in,6,0,multipart/alternative,1,18,1,0,43,17920,0
17,"Fri, 23 Jun 2017 09:19:49 +0530",iiitd,ac.in,1,0,multipart/alternative,0,40,1,1,75,31743,0
18,"Tue, 26 Aug 2014 19:11:27 +0000 (UTC)",quora,com,0,0,multipart/alternative,0,105,1,0,100,78219,1
